source	target	weight
incubator-mxnet	matplotlib	1
incubator-mxnet	pandas	1
incubator-mxnet	sentry	1
incubator-mxnet	bitcoinbook	1
incubator-mxnet	ZeroNet	1
incubator-mxnet	system-design-primer	1
incubator-mxnet	Python	1
incubator-mxnet	models	1
matplotlib	pandas	2
matplotlib	sentry	1
matplotlib	Zappa	1
matplotlib	bitcoinbook	1
matplotlib	scikit-learn	3
matplotlib	ipython	15
matplotlib	ZeroNet	1
matplotlib	system-design-primer	1
matplotlib	Python	1
matplotlib	models	1
pandas	pipenv	1
pandas	python-patterns	1
pandas	yapf	1
pandas	scikit-learn	2
pandas	ipython	3
pandas	hosts	1
requests	pipenv	2
requests	ipython	1
requests	django	1
requests	flask	1
requests	django-rest-framework	1
requests	tornado	1
pipenv	flask	1
autojump	django	1
autojump	django-rest-framework	1
httpie	sentry	1
python-patterns	scikit-learn	1
ansible	certbot	1
sentry	beets	1
sentry	bitcoinbook	1
sentry	celery	1
sentry	django	2
sentry	flask	2
sentry	ZeroNet	1
sentry	certbot	1
sentry	django-rest-framework	1
sentry	system-design-primer	1
sentry	Python	1
sentry	models	1
tldr	scrapy	1
tldr	certbot	1
cookiecutter	scrapy	1
cookiecutter	django	1
home-assistant	django	1
home-assistant	salt	1
home-assistant	keras	1
bokeh	scikit-learn	1
bokeh	ipython	2
bokeh	tornado	1
bokeh	cpython	1
beets	scrapy	1
beets	flask	1
beets	django-rest-framework	1
scrapy	scikit-learn	1
scrapy	certbot	1
scrapy	django-rest-framework	1
scrapy	kivy	1
scrapy	Theano	1
yapf	cpython	1
data-science-ipython-notebooks	system-design-primer	1
data-science-ipython-notebooks	interactive-coding-challenges	1
incubator-airflow	Theano	1
bitcoinbook	ZeroNet	1
bitcoinbook	system-design-primer	1
bitcoinbook	Python	1
bitcoinbook	models	1
scikit-learn	gensim	1
scikit-learn	ipython	4
scikit-learn	Theano	3
gensim	Theano	1
celery	django	2
celery	luigi	1
celery	salt	1
celery	django-rest-framework	2
celery	cpython	1
ipython	django	1
ipython	pelican	1
ipython	tornado	2
ipython	cpython	2
ipython	Theano	3
django	redash	1
django	luigi	1
django	certbot	1
django	django-rest-framework	6
django	kivy	1
django	cpython	4
algorithms	Python	1
pelican	salt	1
neural-doodle	neural-enhance	1
flask	redash	1
flask	certbot	1
flask	cpython	1
redash	localstack	1
ZeroNet	system-design-primer	1
ZeroNet	Python	1
ZeroNet	models	1
luigi	cpython	1
certbot	youtube-dl	1
salt	django-rest-framework	2
django-rest-framework	kivy	1
keras	Theano	1
system-design-primer	Python	1
system-design-primer	interactive-coding-challenges	1
system-design-primer	models	1
tornado	cpython	1
cpython	Theano	1
Python	models	1
